Date,Instrument,Open Price,High Price,Low Price,Close Price,Adjusted_close,Volume,Company Market Cap,Average Number of Shares Outstanding,Book Value per Share,Common Shares - Outstanding - Total,EPS - Basic - excl Extraordinary Items - Normalized - Total,EPS - Diluted - excl Exord Items Applicable to Common Total,Income Available to Common Shares,Period End Date,Revenue from Business Activities - Total,Shares used to calculate Basic EPS - Total,T12M_Revenue,T12M_Net_Income,Announce_Date,Market_cap_calculado,Price_to_Sales,Price_to_Book,Price_to_Book_inverse,EPS_calculado,Price_to_Earnings
1998-01-02,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-05,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-06,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-07,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-08,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-09,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-12,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-13,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-14,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-15,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-16,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-20,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-21,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-22,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-23,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-26,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-27,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-28,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-29,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-01-30,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-02,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-03,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-04,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
1998-02-05,PFG.OQ,,,,,,0.0,,,,,,,,,,,,,,,,,,,
